
# Resource Usage Report
- **Date**: 2025-07-09 20:47:02
- **Monitoring Duration**: 118.52 seconds
- **Polling Interval**: 1 second(s)

## Summary
- **Average CPU Usage**: 27.68%
- **Maximum CPU Usage**: 99.40%
- **Average Memory Usage**: 213.60 MB
- **Maximum Memory Usage**: 282.83 MB
- **Peak Thread Count**: 12

## Raw Data
Timestamp, CPU (%), Memory (MB), Threads
2025-07-09T20:46:46.134134, 34.50, 239.93, 8
2025-07-09T20:46:47.138904, 38.80, 236.07, 8
2025-07-09T20:46:48.142738, 27.40, 251.51, 8
2025-07-09T20:46:49.146025, 23.10, 251.51, 8
2025-07-09T20:46:50.150678, 19.30, 251.51, 8
2025-07-09T20:46:51.154935, 25.50, 251.51, 8
2025-07-09T20:46:52.160141, 31.40, 268.60, 8
2025-07-09T20:46:53.164758, 71.30, 282.83, 8
2025-07-09T20:46:54.168847, 10.60, 241.49, 8
2025-07-09T20:46:55.172733, 10.30, 237.86, 8
2025-07-09T20:46:56.177660, 66.20, 239.10, 8
2025-07-09T20:46:57.182633, 33.00, 240.61, 8
2025-07-09T20:46:58.187756, 30.40, 240.10, 10
2025-07-09T20:46:59.191906, 15.20, 240.10, 10
2025-07-09T20:47:00.196982, 31.50, 220.01, 10
2025-07-09T20:47:01.202641, 25.70, 219.95, 10
