2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Kosugi Maru' from KosugiMaru-Regular.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Turret Road' from TurretRoad-ExtraBold.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Mandali' from Mandali-Regular.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Nunito' from Nunito-Italic-VariableFont_wght.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Turret Road' from TurretRoad-ExtraLight.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Pixelify Sans' from PixelifySans-Bold.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'PT Sans' from PTSans-Bold.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Orbitron' from Orbitron-VariableFont_wght.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Roboto' from Roboto-VariableFont_wdth,wght.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Open Sans' from OpenSans-VariableFont_wdth,wght.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Dongle' from Dongle-Light.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Pixelify Sans' from PixelifySans-SemiBold.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'DM Sans' from DMSans-VariableFont_opsz,wght.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Doppio One' from DoppioOne-Regular.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Turret Road' from TurretRoad-Regular.ttf
2025-07-13 16:26:05 | INFO     | dataset_tools_app | info_monitor:271 | Successfully loaded font: 'Dongle' from Dongle-Bold.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | [UI] Image loading thread initialized successfully
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Enhanced ThemeManager initialized
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Available systems: qt-material=True, qt-themes=False, unreal=False
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Found 6 assets for theme stupid_ms_paint_palette
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Processed custom QSS theme: stupid_ms_paint_palette, asset replacements applied
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Successfully applied custom QSS theme: stupid_ms_paint_palette
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Initial theme loaded: custom_qss:stupid_ms_paint_palette
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Detected dark theme, adjusting icon colors accordingly
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Open Sans from OpenSans-VariableFont_wdth,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Open Sans from OpenSans-Italic-VariableFont_wdth,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Inter from Inter-VariableFont_opsz,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Inter from Inter-Italic-VariableFont_opsz,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: DM Sans from DMSans-VariableFont_opsz,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: DM Sans from DMSans-Italic-VariableFont_opsz,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Work Sans from WorkSans-VariableFont_wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Work Sans from WorkSans-Italic-VariableFont_wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Roboto from Roboto-VariableFont_wdth,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Roboto from Roboto-Italic-VariableFont_wdth,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: IBM Plex Sans from IBMPlexSans-VariableFont_wdth,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: IBM Plex Sans from IBMPlexSans-Italic-VariableFont_wdth,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Nunito from Nunito-VariableFont_wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Nunito from Nunito-Italic-VariableFont_wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: PT Sans from PTSans-Regular.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: PT Sans from PTSans-Bold.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: PT Sans from PTSans-Italic.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: PT Sans from PTSans-BoldItalic.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Radio Canada from RadioCanada-VariableFont_wdth,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Radio Canada from RadioCanada-Italic-VariableFont_wdth,wght.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: JetBrains Mono from JetBrainsMono-Regular.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: JetBrains Mono from JetBrainsMono-Bold.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Syne Mono from SyneMono-Regular.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: VT323 from VT323-Regular.ttf
2025-07-13 16:26:06 | INFO     | dataset_tools_app | info_monitor:271 | Loaded bundled font: Orbitron from Orbitron-VariableFont_wght.ttf
